Description,Date,Start,Duration (mins),Venue
Pay & Play,29/08/2013,20:00,60,Univ
Club Training,09/09/2013,19:00,120,Leys
Club Training,16/09/2013,19:00,120,Leys
Club Training,23/09/2013,19:00,120,Leys
Club Training,30/09/2013,19:00,120,Leys
Club Training,07/10/2013,19:00,120,Leys
Club Training,14/10/2013,19:00,120,Leys
Club Training,21/10/2013,19:00,120,Leys
Club Training,28/10/2013,19:00,120,Leys
Club Training,04/11/2013,19:00,120,Leys
Club Training,11/11/2013,19:00,120,Leys
Club Training,18/11/2013,19:00,120,Leys
Club Training,25/11/2013,19:00,120,Leys
Club Training,02/12/2013,19:00,120,Leys
Club Training,09/12/2013,19:00,120,Leys
Club Training,06/01/2014,19:00,120,Leys
Club Training,13/01/2014,19:00,120,Leys
Club Training,20/01/2014,19:00,120,Leys
Club Training,27/01/2014,19:00,120,Leys
Club Training,03/02/2014,19:00,120,Leys
Club Training,10/02/2014,19:00,120,Leys
Club Training,17/02/2014,19:00,120,Leys
Club Training,24/02/2014,19:00,120,Leys
Club Training,03/03/2014,19:00,120,Leys
Club Training,10/03/2014,19:00,120,Leys
Club Training,17/03/2014,19:00,120,Leys